Player,2PA,3PA,FTA,ORB,DRB,AST,STL,BLK,PTS,2P%,3P%,eFG%,FT%,DBPM,USG%,REACH(in.),Cost
Kyle Lowry,8.2,6.9,6.2,0.7,3.9,6.2,2,0.4,20.6,0.461,0.388,0.516,0.811,0.6,26.1,93,3
Dirk Nowitzki,11.7,5.2,4.3,0.8,6.7,2,0.8,0.8,20.9,0.483,0.368,0.504,0.893,-0.3,25.5,112,3
Isaiah Thomas,12.5,6.3,7.4,0.6,2.7,6.9,1.2,0.1,24.8,0.462,0.359,0.488,0.871,-2,29.6,93.5,3
Dwyane Wade,18.2,0.7,6.5,1.3,3.5,5.5,1.3,0.7,22.5,0.468,0.159,0.459,0.793,-0.1,31.6,102,3
Andrew Wiggins,14,2.4,7.1,1.3,2.4,2.1,1,0.6,21.2,0.486,0.3,0.481,0.761,-2.5,27.2,106,3
Bradley Beal,11.1,5.7,3.7,0.9,3.1,3.4,1.1,0.2,20.2,0.481,0.387,0.515,0.767,-1.6,25.3,100,2
Mike Conley,9.8,4.4,4.7,0.5,2.8,7,1.4,0.3,17.5,0.449,0.363,0.478,0.834,-1.9,22.4,94.5,2
Tyreke Evans,10.8,4,4.4,0.9,5.1,7.7,1.5,0.4,17.8,0.45,0.388,0.486,0.796,0,24.7,104,2
Kenneth Faried,13.3,0,4.7,5,7.4,1.7,0.7,1.3,17.7,0.558,0,0.558,0.613,-0.1,21,108,2
Pau Gasol,14.6,1.1,4.5,2.4,10,4.6,0.7,2.3,18.7,0.478,0.348,0.481,0.792,3.5,24.6,113,2
Rudy Gobert,6.6,0,5.3,3.9,8.6,1.7,0.8,2.5,10.4,0.559,0,0.559,0.569,4.8,14.2,115,2
Gordon Hayward,9.9,5.1,5.9,0.8,4.2,3.7,1.2,0.3,19.6,0.477,0.349,0.493,0.824,-0.1,25.7,103,2
Brook Lopez,16.7,0.2,5.9,3,5.4,2.2,0.8,1.8,22,0.515,0,0.512,0.787,0.2,27.3,113,2
CJ McCollum,12.4,6.1,2.9,0.6,2.7,4.4,1.3,0.3,21.6,0.463,0.417,0.517,0.827,-2,27.1,96.5,2
Khris Middleton,9.9,4.6,3.9,0.6,3.3,4.2,1.7,0.2,18.1,0.466,0.396,0.507,0.888,-1.6,23,103,2
Chandler Parsons,8,5,2.7,0.6,5.1,3.4,0.9,0.4,16.7,0.54,0.414,0.571,0.684,0.3,20.5,104.5,2
Kristaps Porzingis,11.3,4.3,4.2,2.3,6.9,1.6,0.9,2.4,18.1,0.454,0.333,0.467,0.838,0.9,24.6,114,2
Zach Randolph,15.7,0.5,3.9,3.2,6.2,2.5,0.8,0.2,18.6,0.482,0.231,0.479,0.796,-1.1,24.6,112,2
Jonas Valanciunas,12.4,0,4.9,4.3,8.4,1,0.6,1.8,17.8,0.565,0,0.565,0.761,0.4,20.9,111,2
Nikola Vucevic,18.3,0.2,2.7,3.1,7.1,3.2,0.9,1.2,20.9,0.512,0,0.511,0.753,1.1,26.8,112.5,2
Kemba Walker,10.5,6.1,5.5,0.7,3.8,5.3,1.6,0.5,21.1,0.459,0.371,0.495,0.874,0,26.5,91.5,2
JJ Redick,7.9,7.2,3.5,0.2,2.2,1.8,0.7,0.1,21,0.484,0.475,0.593,0.888,-2.7,22.6,97.5,1
